PTX Hexadecimal Floating-Point Constants
================================================================================

Total unique constants: 7607
Total occurrences: 1224282

DOUBLE-PRECISION CONSTANTS (0d/0D + 16 hex digits):
--------------------------------------------------------------------------------
0dC05751787E247BD4: 2 occurrences
0d401704C4E5FC36B2: 2 occurrences
0dBFE15B747A2FD531: 2 occurrences
0d3FBA7FEACF6CB79B: 2 occurrences
0dBFAFFFFFEDDCF548: 2 occurrences
0d3FEFFFFFFFFFC9E5: 2 occurrences
0d410ECD4523B12B84: 2 occurrences
0dC14602FE1C34685E: 2 occurrences
0dC0C7A2FC1972F05A: 2 occurrences
0d407EBA131F7E5BEB: 2 occurrences
0dC0373B92E6E7CC7D: 2 occurrences
0d3FFA31BEE63A2F08: 2 occurrences
0dBFCAD320104D5D05: 2 occurrences
0d3FB0AAAA9C76D07E: 2 occurrences
0dBFBFFFFFFFFDACEC: 2 occurrences
0dC0033D152E971B40: 2 occurrences
0d3CA0F539D7DA258E: 2 occurrences
0dBCFCF8F9A8C294BC: 2 occurrences
0dBCC0D18564C48C61: 2 occurrences
0d3D3FAB983CAE498B: 2 occurrences
0d3D7CD7C018579B88: 2 occurrences
0dBDBBDD2342D64FDD: 2 occurrences
0dBDF5C2D9416B1E2B: 2 occurrences
0d3E32951D73174DD5: 2 occurrences
0d3E67FF99802CAEB5: 2 occurrences
0dBEA1CCE305C4C9F7: 2 occurrences
0dBED232C77E29E1BB: 2 occurrences
0d3F06ED3B9F0EF757: 2 occurrences
0d3F315382BA096A62: 2 occurrences
0dBF61F992590D1AE4: 2 occurrences
0dBF81BB1CBE1A465F: 2 occurrences
0d3FACFAE864368D84: 2 occurrences
0d3FBBA1DEEA0294A3: 2 occurrences
0dBFE09CDB36551280: 2 occurrences
0dC016148F5B2C2E45: 2 occurrences
0dBC975054CD60A517: 2 occurrences
0d3CF83FD1F333EB61: 2 occurrences
0d3CBCB0A8F126B343: 2 occurrences
0dBD4100E33E3FB413: 2 occurrences
0dBD7846076D004627: 2 occurrences
0d3DBE2F1D4F90720D: 2 occurrences
0d3DF1D03B1E4A119B: 2 occurrences
0dBE341D72B1B3BCE9: 2 occurrences
0dBE62DA37CE2A9EF8: 2 occurrences
0d3EA32E6D9974F763: 2 occurrences
0d3ECAD77D744A1879: 2 occurrences
0dBF0863F481A37337: 2 occurrences
0dBF26F641F418F0F4: 2 occurrences
0d3F627E31FE9A969E: 2 occurrences
0d3F72F7FFE9025628: 2 occurrences
0dBFAB2150CB41E8BF: 2 occurrences
0dBF9F8F72E7A848DE: 2 occurrences
0d3FD5C6E60A097823: 2 occurrences
0dC0214EB56CCCDECA: 2 occurrences
0d3CB51970714C7C25: 2 occurrences
0dBCF4B3A71AAAC629: 2 occurrences
0dBCBDB7FFCF659E24: 2 occurrences
0d3D417EC150ECDCE7: 2 occurrences
0d3D7438F5EA1D10B2: 2 occurrences
0dBDBEDAE7EC2C9E87: 2 occurrences
0dBDECADD2C4B91F58: 2 occurrences
0d3E34582C8EE12204: 2 occurrences
0d3E5CEDA451DD20F8: 2 occurrences
0dBEA30E8CC3165E2F: 2 occurrences
0dBEC3324842BB1A2E: 2 occurrences
0d3F07800BC54FBDDB: 2 occurrences
0d3F1D79605276949A: 2 occurrences
0dBF60E0D60385A629: 2 occurrences
0dBF648E63600D82F3: 2 occurrences
0d3FA68B984EC6493A: 2 occurrences
0d3F900F7FCF183E0B: 2 occurrences
0dBFD15F7977A772D4: 2 occurrences
0d400353AABAD7B784: 2 occurrences
0d4015B1D0574614EA: 2 occurrences
0d40213065E54C1AA9: 2 occurrences
0d415A30AC6857BEE0: 2 occurrences
0dC18DA26B212FDC9A: 2 occurrences
0dC11764222AD7C910: 2 occurrences
0d40CEB02E0C306857: 2 occurrences
0dC08351859FA2B23B: 2 occurrences
0d403E65A07AF51F42: 2 occurrences
0dC002F2B817F77A57: 2 occurrences
0d3FD7BCC34DA069FD: 2 occurrences
0dBFC4FFFFF8A44463: 2 occurrences
0d3FD7FFFFFFFF5CD7: 2 occurrences
0dBD4DD167A0DC3F55: 2 occurrences
0d3D020E4ADCDE2AD3: 2 occurrences
0d3D5503F5A491E487: 2 occurrences
0d3DC1F29940C2403A: 2 occurrences
0d3D84CF9302EACDEF: 2 occurrences
0dBE384A53DBBCA436: 2 occurrences
0d3D9779BEE4F63BCC: 2 occurrences
0d3EA6C160E414F3F0: 2 occurrences
0d3D8F3D2F12430699: 2 occurrences
0dBF0C71C72C0CED04: 2 occurrences
0d3D659BCA506F1128: 2 occurrences
0d3F65555555506982: 2 occurrences
0d3D15BA0B425F1BFB: 2 occurrences
0dBFB0000000000065: 2 occurrences
0d3C8729A7253FB679: 2 occurrences
0dC00EA75575AF6F09: 2 occurrences
0d3CA60155A9D1B256: 2 occurrences
0d3D41011A1DF02DAD: 2 occurrences
0dBCF8D3CDBB60175E: 2 occurrences
0d3D76013AC1E5E222: 2 occurrences
0dBDBEC315D96D5F03: 2 occurrences
0dBDF03BE1B4B57207: 2 occurrences
0d3E345695F8B660F7: 2 occurrences
0d3E617069FCFCFFF4: 2 occurrences
0dBEA33825C36745EB: 2 occurrences
0dBEC9799D4F90931B: 2 occurrences
0d3F083A06E2F7DF13: 2 occurrences
0d3F26E4C2D53A7CF6: 2 occurrences
0dBF624B3409957B1C: 2 occurrences
0dBF7537544C3325DF: 2 occurrences
0d3FAB589D1DA138E2: 2 occurrences
0d3FAAE8A39F51AD13: 2 occurrences
0dBFD9C6CF582CBF7F: 2 occurrences
0dC01C0FF5F3B47250: 2 occurrences
0d3C9B226D9D243827: 2 occurrences
0dBD40E8363DB649A9: 2 occurrences
0d3CF3EB867515FAD6: 2 occurrences
0dBD73B7DD4A6608FB: 2 occurrences
0d3DBEC5E01482C750: 2 occurrences
0d3DEC62BB9E882103: 2 occurrences
0dBE34462EED732A23: 2 occurrences
0dBE5D48DCAD7DC59B: 2 occurrences
0d3EA3026DF29167E9: 2 occurrences
0d3EC4255B0119666C: 2 occurrences
0dBF0796A751B32693: 2 occurrences
0dBF207358BBDBA284: 2 occurrences
0d3F613FBC7D6927B1: 2 occurrences
0d3F69A4B292E3DD75: 2 occurrences
0dBFA80C83BDEEE4FB: 2 occurrences
0dBF95E70DC60362BF: 2 occurrences
0d3FD33518B3874E8A: 2 occurrences
0dC099C06322A3F8BE: 2 occurrences
0d40CD02EA3F2F6751: 2 occurrences
0d405B89354DA77324: 2 occurrences
0dC01E352294653188: 2 occurrences
0d3FE9BC7DB16BD7A7: 2 occurrences
0dBFC8BFE1C3A4F741: 2 occurrences
0d3FC7FFFFF0D00BE2: 2 occurrences
0d3FF00000000068CC: 2 occurrences
0d3FCC71C71C71C71C: 2 occurrences
0dC062C00000000000: 2 occurrences
0dBF7DDDDDDDDDDDDE: 2 occurrences
0d3F6F7DF7DF7DF7DF: 2 occurrences
0dBF70EEEEEEEEEEEF: 2 occurrences
0dBF91DF46A2529D39: 2 occurrences
0dBFDA3D70A3D70A3D: 2 occurrences
0d3F889374BC6A7EFA: 2 occurrences
0d4014EB851EB851EC: 2 occurrences
0d3F789374BC6A7EFA: 2 occurrences
0dBEEF75104D551D69: 2 occurrences
0dBF7469F838ADBDE0: 2 occurrences
0dBF5469F838ADBDE0: 2 occurrences
0d4007FBB2FEC56D5D: 2 occurrences
0d3FBE12AACA0BCF45: 2 occurrences
0d3FD6DF62279DAB2A: 2 occurrences
0d3FE4904EEC312A6B: 2 occurrences
0d3FEC3DAAA6BE8617: 2 occurrences
0d3FA83AC02427AF96: 2 occurrences
0dBF84C0D4C79B4445: 2 occurrences
0d3F67A5696094ACC4: 2 occurrences
0dBF42385DDF707025: 2 occurrences
0d3F964D4109BBBC9E: 2 occurrences
0d3FCCA18876315713: 2 occurrences
0dBF88C34E57793767: 2 occurrences
0d3F60211920D3D294: 2 occurrences
0d3FA6FB819D4443D3: 2 occurrences
0d3FC472503BF08020: 2 occurrences
0d3FD4A9A2EFC6D9DA: 2 occurrences
0dBF7C4FE15A2CDF36: 2 occurrences
0d3F93CEC3FBF4E518: 2 occurrences
0d3FCC8F6BA80D9476: 2 occurrences
0d3FCDF9B2C6CCA798: 2 occurrences
0d3FD4FCAF25E738F7: 2 occurrences
0d3FA6397A7E81CDDA: 2 occurrences
0d3FA98B630086749C: 2 occurrences
0dBF899110CB0218D9: 2 occurrences
0d3F7A8FE683702134: 2 occurrences
0dBF6F42754892ACB8: 2 occurrences
0d3F5700729E7455F4: 2 occurrences
0d3F9F1D49DDDD1CE1: 2 occurrences
0d3FC91845A9F2BAF6: 2 occurrences
0d3FA881322FCACDD5: 2 occurrences
0dBF8A64A14807A123: 2 occurrences
0d3F7A3D05DB18F3C9: 2 occurrences
0dBF625DFAA9F4AC15: 2 occurrences
0d3FA0888888888889: 2 occurrences
0d3FC8B817BA45857C: 2 occurrences
0d3FD082B47A60FBD6: 2 occurrences
0d3F93EB1E087F226A: 2 occurrences
0dBF6FCA2D16E96E9B: 2 occurrences
0d3F51111111111111: 2 occurrences
0d3FA236F0BBB05BD2: 2 occurrences
0d3FC76706D7111823: 2 occurrences
0d3FD2948B65292B06: 2 occurrences
0d3FCD628029DF2885: 2 occurrences
0dBF7BEAD4811B6695: 2 occurrences
0d3F6826C222282A0A: 2 occurrences
0d3FA0590D7C1D6E61: 2 occurrences
0d3FC8B5F8DB0C2A75: 2 occurrences
0d3FD15726C0DB2D78: 2 occurrences
0d3FD28DEEE140FEC4: 2 occurrences
0d3FC1D61645C8429B: 2 occurrences
0dBF84A1A5B5C2F323: 2 occurrences
0dBF80E27C75E0A843: 2 occurrences
0d3F67E1768CBC070F: 2 occurrences
0dBF4F9D86EECC165D: 2 occurrences
0d3F29AF1321DED70E: 2 occurrences
0d3FC4D5768063C4EC: 2 occurrences
0dBF8814BEF4EC3742: 2 occurrences
0d3F6AA8DEA1BC55D7: 2 occurrences
0dBF4445662E376735: 2 occurrences
0d3FBE6AE283491E9C: 2 occurrences
0d3FCFD4FEF1B7EB9E: 2 occurrences
0dBF85525C4DDCBA11: 2 occurrences
0d3F5B1D581CD1506E: 2 occurrences
0d3FC43C841B55DB4E: 2 occurrences
0d3FC82AE3238C92BE: 2 occurrences
0d3FD1F9CAF7922A4E: 2 occurrences
0dBF75A6F9678420AC: 2 occurrences
0d3FBD49D0226356EC: 2 occurrences
0d3FCF8FAC39D7A199: 2 occurrences
0d3FCACA285CCE47FC: 2 occurrences
0d3FD03F1B3D237004: 2 occurrences
0d40040D931FF62704: 2 occurrences
0dBDDB7CDFD9D7BDBB: 2 occurrences
0d3FE55555571F7693: 2 occurrences
0d3FFB74538EF34D6A: 2 occurrences
0d3E10000000000000: 2 occurrences
0d3F80624DD2F1A9FC: 2 occurrences
0dC023666666666666: 2 occurrences
0d3FE921FB60000000: 2 occurrences
0d40330353F7CED917: 2 occurrences
0d403940C49BA5E354: 2 occurrences
0d40B9670000000000: 2 occurrences
0d4063B00000000000: 2 occurrences
0dC05C200000000000: 2 occurrences
0d405C200000000000: 2 occurrences
0d3FC2492492492492: 2 occurrences
0d3E70000000000000: 2 occurrences
0d3FA030DC4EA03A72: 2 occurrences
0d4013E147AE147AE1: 2 occurrences
0dC013E147AE147AE1: 2 occurrences
0d4019000000000000: 2 occurrences
0d3F77ACC4EF88B978: 2 occurrences
0dBF70C1A10C1A10C1: 2 occurrences
0dBFD921FB54442D18: 2 occurrences
0d3FD64DD2F1A9FBE7: 2 occurrences
0dBFA67B5F1BEF49CF: 2 occurrences
0dBF858B827FA1A0CF: 2 occurrences
0d3FAD2F1A9FBE76C9: 2 occurrences
0dC01E000000000000: 2 occurrences
0dC074000000000000: 2 occurrences
0d4098BAFB60000000: 2 occurrences
0d3F847AE140000000: 2 occurrences
0d4050400000000000: 2 occurrences
0dD47D42AEA2879F2E: 2 occurrences
0d3FC26E978D4FDF3B: 2 occurrences
0d40D3880000000000: 2 occurrences
0d40E3880000000000: 2 occurrences
0d40BB580000000000: 2 occurrences
0d40CD4C0000000000: 2 occurrences
0d40ED4C0000000000: 2 occurrences
0d406F400000000000: 2 occurrences
0d40B3880000000000: 2 occurrences
0d3F847AE147AE147C: 2 occurrences
0d40F3880000000000: 2 occurrences
0dC02F333333333333: 2 occurrences
0d412F3AF6C5CEDA00: 2 occurrences
0d3FD6E286DDD532CD: 2 occurrences
0d3FDA65AF8741A841: 2 occurrences
0d3FC7189374BC6A7F: 2 occurrences
0d3FE6E286DDD532CD: 2 occurrences
0d3FCB38DD971F6BD6: 2 occurrences
0d3FB27A0F9096BB99: 2 occurrences
0d3FBE835DEDF1E083: 2 occurrences
0d3F93CC4410D1089C: 2 occurrences
0d3FEE68E424D8269D: 2 occurrences
0dBFE6D916872B020C: 2 occurrences
0d3FD408134A2AD552: 2 occurrences
0d3FA1B0514A2C18B6: 2 occurrences
0d3FED70A3D70A3D71: 2 occurrences
0d3FE051EB851EB852: 2 occurrences
0d400921FB5444261E: 2 occurrences
0d3E60000000000000: 2 occurrences
0d3FE3C6EF372FE950: 2 occurrences
0d3D40775E873F74B0: 2 occurrences
0d3FEF49F49F49F49F: 2 occurrences
0d400DDDDDDDDDDDDE: 2 occurrences
0d400C71C71C71C71C: 2 occurrences
0d40079EEC0FC37181: 2 occurrences
0d4027310BD29520E4: 2 occurrences
0d4023A552363C5290: 2 occurrences
0d3FD29C9EBA1E3345: 2 occurrences
0d4006C52BF5A814B0: 2 occurrences
0d402583E0F83E0F84: 2 occurrences
0d4021D016A3721E8B: 2 occurrences
0d3FD1D1745D1745D1: 2 occurrences
0d3FD1818970D9CC2F: 2 occurrences
0d3FDCC0499A5605FB: 2 occurrences
0d3FD4A1CFB2B78C13: 2 occurrences
0d4032800000000000: 2 occurrences
0d3FE177D0A8000000: 2 occurrences
0d400921CAC083126F: 2 occurrences
0d400921FF2E48E8A7: 2 occurrences
0d402299999999999A: 2 occurrences
0d404DFEB851EB851F: 2 occurrences
0d408F380000000000: 2 occurrences
0d3F70101029AA03B0: 2 occurrences
0dC04CA5DC1A63C1F8: 2 occurrences
0d3FE2E147AE147AE1: 2 occurrences
0d3FD9884406C00DA2: 2 occurrences
0d405841E12C9A9C1A: 2 occurrences
0d40A8B48E29793D2F: 2 occurrences
0dC16312D000000000: 2 occurrences
0d4036666666666666: 2 occurrences
0dBEE49004F054BC45: 2 occurrences
0dBC94B961B508B2B2: 2 occurrences
0dBF80000000000000: 2 occurrences
0dBE7AD7F29ABCAF48: 2 occurrences
0dC3E0000000000000: 2 occurrences
0d479E17B84357691B: 2 occurrences
0d40741B2F769CF0E0: 2 occurrences
0dBFDACEE9F37BEBD5: 2 occurrences
0d3FF76872B020C49C: 2 occurrences
0d4051DDA1CAC08312: 2 occurrences
0dBFA42C3C9EECBFB1: 2 occurrences
0dC031E0068DB8BAC7: 2 occurrences
0d405129BF00000000: 2 occurrences
0dC076800000000000: 2 occurrences
0d414885C200000000: 2 occurrences
0d3F43333333333334: 2 occurrences
0d43B7800000000000: 2 occurrences
0d3FB921FB54442D18: 2 occurrences
0d3FD1261460000000: 2 occurrences
0d3EF3333333333334: 2 occurrences
0d4090000000431BDF: 2 occurrences
0d3F1E3F54991B69FB: 2 occurrences
0d3EFF75104D551D69: 2 occurrences
0dBED42FC0E4490BEE: 2 occurrences
0d3F33A92A28F5C28F: 2 occurrences
0d3F9111111111111B: 2 occurrences
0dC01921FF2E48E8A7: 2 occurrences
0d3FA921FB54442D18: 2 occurrences
0d3FD989ED8184F57F: 2 occurrences
0d3F447AE147AE147B: 2 occurrences
0d4028B0FBA8826AA9: 2 occurrences
0dC1E0000000000000: 2 occurrences
0d3F5921FB54442D18: 2 occurrences
0dBFF71547652B82FE: 2 occurrences
0d406D600000000000: 2 occurrences
0d408FF80000000000: 2 occurrences
0d3FB3F7CED916872B: 2 occurrences
0d406F800000000000: 2 occurrences
0dBFEFFFFFFFFFFFFC: 2 occurrences
0d3FEFFFFFFFFFFFFE: 2 occurrences
0d3FEFF62B6AE7D567: 2 occurrences
0dBF4D7DBF487FCB92: 2 occurrences
0d3FA93DD97F62B6AE: 2 occurrences
0d400AA8F5C28F5C29: 2 occurrences
0dC050E5C0EBEDFA44: 2 occurrences
0dBF91EB851EB851EC: 2 occurrences
0d4050E5C0EBEDFA44: 2 occurrences
0d3F91EB851EB851EC: 2 occurrences
0dBFEFF487FCB923A3: 2 occurrences
0d3FA94AF4F0D844D0: 2 occurrences
0d3FEFFE5C91D14E3C: 2 occurrences
0d3FF004816F0068DC: 2 occurrences
0dBF9205BC01A36E2F: 2 occurrences
0dBFFCA7EF9DB22D0E: 2 occurrences
0dC03CBF6FD21FF2E5: 2 occurrences
0dBF56F0068DB8BAC7: 2 occurrences
0dBF8FF2E48E8A71DE: 2 occurrences
0dBFF0353F7CED9168: 2 occurrences
0d3F9B089A02752546: 2 occurrences
0dBFDA52BD3C361134: 2 occurrences
0d3FF1FC504816F007: 2 occurrences
0d4040923A29C779A7: 2 occurrences
0dBFD9182A9930BE0E: 2 occurrences
0dBFB9FBE76C8B4396: 2 occurrences
0d3F802DE00D1B7176: 2 occurrences
0dBFF8D1B71758E219: 2 occurrences
0d3F90E5604189374C: 2 occurrences
0dC0507A0902DE00D2: 2 occurrences
0dBFF82B6AE7D566CF: 2 occurrences
0dC0055E69AD42C3CA: 2 occurrences
0dBF6B089A02752546: 2 occurrences
0d3FFC34D6A161E4F7: 2 occurrences
0d3F719CE075F6FD22: 2 occurrences
0dBFC14E3BCD35A858: 2 occurrences
0d4021ABFB15B573EB: 2 occurrences
0dBFE3C432CA57A787: 2 occurrences
0d400090CB295E9E1B: 2 occurrences
0d405110902DE00D1B: 2 occurrences
0dBFE734D6A161E4F7: 2 occurrences
0dBFE51A9FBE76C8B4: 2 occurrences
0dBF9DE69AD42C3C9F: 2 occurrences
0d3F77C1BDA5119CE0: 2 occurrences
0dC01C780346DC5D64: 2 occurrences
0d3FA5B573EAB367A1: 2 occurrences
0d3FC961E4F765FD8B: 2 occurrences
0dBFFA83E425AEE632: 2 occurrences
0d3FB06F694467381D: 2 occurrences
0dBFE750B0F27BB2FF: 2 occurrences
0d3F782A9930BE0DED: 2 occurrences
0d3F5F212D77318FC5: 2 occurrences
0d3F83DD97F62B6AE8: 2 occurrences
0dBF554C985F06F694: 2 occurrences
0dBFB816F0068DB8BB: 2 occurrences
0dBFF83BCD35A85879: 2 occurrences
0dBFEB2A305532617C: 2 occurrences
0d3F7D14E3BCD35A86: 2 occurrences
0dBF6D7DBF487FCB92: 2 occurrences
0dBFC989374BC6A7F0: 2 occurrences
0dBF661E4F765FD8AE: 2 occurrences
0dBFE3916872B020C5: 2 occurrences
0dBF9AEE631F8A0903: 2 occurrences
0dBF72D77318FC5048: 2 occurrences
0dBFC42F837B4A233A: 2 occurrences
0d3FAEC56D5CFAACDA: 2 occurrences
0d3FAB15B573EAB368: 2 occurrences
0d3FB902DE00D1B717: 2 occurrences
0d3F942C3C9EECBFB1: 2 occurrences
0d3F80CB295E9E1B09: 2 occurrences
0dBFB3404EA4A8C155: 2 occurrences
0dBFC3F487FCB923A3: 2 occurrences
0dBFEC75F6FD21FF2E: 2 occurrences
0d3FB624DD2F1A9FBE: 2 occurrences
0d3FBE5604189374BC: 2 occurrences
0d3F9F6FD21FF2E48F: 2 occurrences
0d3F7B71758E219653: 2 occurrences
0dBFA23A29C779A6B5: 2 occurrences
0d3FA15B573EAB367A: 2 occurrences
0dBF6205BC01A36E2F: 2 occurrences
0d3F6E4F765FD8ADAC: 2 occurrences
0dBF3A36E2EB1C432D: 2 occurrences
0d3F96BB98C7E28241: 2 occurrences
0d3F589374BC6A7EFA: 2 occurrences
0d3F56F0068DB8BAC7: 2 occurrences
0d3F554C985F06F694: 2 occurrences
0d3F53A92A30553261: 2 occurrences
0d3F5205BC01A36E2F: 2 occurrences
0d3F4D7DBF487FCB92: 2 occurrences
0d3F4A36E2EB1C432D: 2 occurrences
0d3F43A92A30553261: 2 occurrences
0d3F3A36E2EB1C432D: 2 occurrences
0d3F94000000000000: 2 occurrences
0d3FEFF8929A5E7D34: 2 occurrences
0d3FA5CC2D1960276D: 2 occurrences
0d4042800000000000: 2 occurrences
0d3F722724CB7EB291: 2 occurrences
0d3F218A9C4FD530C2: 2 occurrences
0d3FABA4B99D1799AA: 2 occurrences
0d3FCEF8EB9AD499B9: 2 occurrences
0d3FD6A09E667F3BCC: 2 occurrences
0d3FD6A09E667F3BCD: 2 occurrences
0d4043BD3CC9BE45DE: 2 occurrences
0d400FFDF3B645A1CB: 2 occurrences
0d404B000000000000: 2 occurrences
0d407FE00000000000: 2 occurrences
0dC16312CFE0000000: 2 occurrences
0dBFEBB67AE8584CAA: 2 occurrences
0d4041000000000000: 2 occurrences
0d3F8774BAEA317A3B: 2 occurrences
0dBFF921FB54442D18: 2 occurrences
0dBFCE1E1E1E1E1E1E: 2 occurrences
0dC021000000000000: 2 occurrences
0d3FC8C51D16FB03B5: 2 occurrences
0dC085A80000000000: 2 occurrences
0d407AD00000000000: 2 occurrences
0dC0FAB53000000000: 2 occurrences
0d40E68DA000000000: 2 occurrences
0dC051800000000000: 2 occurrences
0dC073B00000000000: 2 occurrences
0d406CE00000000000: 2 occurrences
0dC0C7760000000000: 2 occurrences
0d40B9230000000000: 2 occurrences
0dC0D9230000000000: 2 occurrences
0d40C7BD8000000000: 2 occurrences
0dC041800000000000: 2 occurrences
0d405A400000000000: 2 occurrences
0dC0DD538000000000: 2 occurrences
0dC0B20C0000000000: 2 occurrences
0d40AB120000000000: 2 occurrences
0dC04F800000000000: 2 occurrences
0d407981999999999A: 2 occurrences
0dC046100000000000: 2 occurrences
0d3FDD67F0AA21A71A: 2 occurrences
0d406FFFAE147AE148: 2 occurrences
0dBFCC71C71C71C71C: 2 occurrences
0d3FF6A09E60000000: 1 occurrences
0d3FFAC5AFA0000000: 1 occurrences
0d3FF0CFABE0000000: 1 occurrences
0d405EC66666666666: 1 occurrences
0dC0B365010624DD2F: 1 occurrences
0dC0AB56EC3C9EECC0: 1 occurrences
0dC0B820174BC6A7F0: 1 occurrences
0d40AB194D013A92A3: 1 occurrences
0dC0AF775D3C361134: 1 occurrences
0dC09EF33F141205BC: 1 occurrences
0dC0B50A72F1A9FBE7: 1 occurrences
0d405AA39945B6C376: 1 occurrences
0dC0A95C9BC01A36E3: 1 occurrences
0dC0B4CF91FF2E48E9: 1 occurrences
0dC0ACCAB844D013A9: 1 occurrences
0d40866CA7BB2FEC57: 1 occurrences
0dC0AB5077CED91687: 1 occurrences
0dC0B63EA2FEC56D5D: 1 occurrences
0dC0A83F805BC01A37: 1 occurrences
0d40A7266000000000: 1 occurrences
0dC0AEE9CEA4A8C155: 1 occurrences
0dC0AD63903AFB7E91: 1 occurrences
0dC0A65421A36E2EB2: 1 occurrences
0d40AFF77886594AF5: 1 occurrences
0dC07F8EA9930BE0DF: 1 occurrences
0dC0306C92FF4BA51A: 1 occurrences
0dC0B6A9A0C49BA5E3: 1 occurrences
0d40AEEBC45A1CAC08: 1 occurrences
0dC0ACC8604189374C: 1 occurrences
0dC09562972474538F: 1 occurrences
0dC0B3BC82617C1BDA: 1 occurrences
0d40A43E0B43958106: 1 occurrences
0dC0B6A827AE147AE1: 1 occurrences
0dC0912A2353F7CED9: 1 occurrences
0dC0A1AADCFAACD9E8: 1 occurrences
0d409EEFCFF9724745: 1 occurrences
0dC0B10650E5604189: 1 occurrences
0dC0ADF8B6E2EB1C43: 1 occurrences
0dC0B16D7020C49BA6: 1 occurrences
0d409FF2D9B3D07C85: 1 occurrences
0dC09A8ADB089A0275: 1 occurrences
0dC098DB0F27BB2FEC: 1 occurrences
0dC06AA49081C2E33F: 1 occurrences
0d40AACACD1B71758E: 1 occurrences
0d3E8AD7F29ABCAF49: 1 occurrences
0dBFE921FB60000000: 1 occurrences
0dBFE0000007784B2D: 1 occurrences
0dBFD921FB60000000: 1 occurrences
0dBFD0000007784B2D: 1 occurrences
0dBFC921FB60000000: 1 occurrences
0dBFC0000007784B2D: 1 occurrences
0dBFB921FB60000000: 1 occurrences
0dBFB0000007784B2D: 1 occurrences
0dBFA921FB60000000: 1 occurrences
0dBFA0000007784B2D: 1 occurrences
0dBF9921FB60000000: 1 occurrences
0dBF90000007784B2D: 1 occurrences
0dBF8921FB60000000: 1 occurrences
0dBF80000007784B2D: 1 occurrences
0dBF7921FB60000000: 1 occurrences
0dBF70000007784B2D: 1 occurrences
0dBF6921FB60000000: 1 occurrences
0dBF60000007784B2D: 1 occurrences
0d42AB48EB57E00000: 1 occurrences
0dC016C71C71C71C72: 1 occurrences
0d3FD55553EF6B5D46: 1 occurrences
0d3F79C2CF1D092543: 1 occurrences
0d402C000000000000: 1 occurrences
0dBFD95810624DD2F2: 1 occurrences
0dBFE2978D4FDF3B64: 1 occurrences
0d40003B645A1CAC08: 1 occurrences
0d40659945B6C3760C: 1 occurrences
0d4075335D249E44FA: 1 occurrences
0d407ACBD1244A6224: 1 occurrences
0d4054D0BB6ED67770: 1 occurrences
0d40FFC02000000000: 1 occurrences
0d3E90BE60A0000000: 1 occurrences
0d3EA0BE60A0000000: 1 occurrences
0d4068FFAE147AE148: 1 occurrences
0d4058FFAE147AE148: 1 occurrences
0dBFEFF7CED916872B: 1 occurrences
0d400A6BB1BBB55516: 1 occurrences
0dC00A6BB1BBB55516: 1 occurrences
0d40126BB1BBB55516: 1 occurrences
0d40F6000000000000: 1 occurrences
0d406F6A7A2955385E: 1 occurrences
0d4095447AE147AE14: 1 occurrences
0d4071F00000000000: 1 occurrences
0d408668CCCCCCCCCC: 1 occurrences
0d408F700000000000: 1 occurrences
0d3EF2C36251142AEB: 1 occurrences
0d4072028F5C28F5C3: 1 occurrences
0d40F8BCD000000000: 1 occurrences
0d3FE1EB851EB851EB: 1 occurrences
0dBFE6666666666666: 1 occurrences
0d3FD14A2339C0EBEE: 1 occurrences
0dBFA47AE147AE147B: 1 occurrences
0d4005555555567A89: 1 occurrences
0d3FECF41F212D7732: 1 occurrences
0d40A0000000000000: 1 occurrences
0d403B555555555555: 1 occurrences
0d439B000000000000: 1 occurrences
0d41F0000000000000: 1 occurrences
0d3F91DF4722D4405F: 1 occurrences
0d3FFFFFFEF39085F4: 1 occurrences
0dC06573FAE561F648: 1 occurrences
0d41FFEFDD4FF37461: 1 occurrences
0d41F2F851FC237B1D: 1 occurrences
0dC1FA8A1907F57F70: 1 occurrences
0d41E10B6852851C22: 1 occurrences
0dC1B925FC57CCB350: 1 occurrences
0d41885261A7176974: 1 occurrences
0dC1506BFA24BE44DB: 1 occurrences
0d411003CC0DA58B08: 1 occurrences
0dC0C6E73AA6A2C47A: 1 occurrences
0d40785E17BC10541A: 1 occurrences
0dC0216C6690365068: 1 occurrences
0d3FD934E08086004C: 1 occurrences
0d3FB6AA7C7D428943: 1 occurrences
0d3FA6EAC2735A091E: 1 occurrences
0d3F9DEBAA90561E71: 1 occurrences
0d3F9CB94DDFD23F70: 1 occurrences
0d3FA9884533D30179: 1 occurrences
0d3FD9884533D43657: 1 occurrences
0d3858C41D50AB516F: 1 occurrences
0d37D4D7F592957DA6: 1 occurrences
0d39095DDA3F2C417B: 1 occurrences
0d39A367189A01363E: 1 occurrences
0d3A3E90745678B866: 1 occurrences
0d3AD416D14FA3A4BD: 1 occurrences
0d3B669D021FDE720E: 1 occurrences
0d3BF5601014E95430: 1 occurrences
0d3C80B313C0325230: 1 occurrences
0d3D0522A42FFEF890: 1 occurrences
0d3D8522A440809476: 1 occurrences
0d3E002E85C07BA843: 1 occurrences
0d3E723456789B9DE8: 1 occurrences
0d3EDC71C71C71B63C: 1 occurrences
0d3F3C71C71C71C7C2: 1 occurrences
0d3F8FFFFFFFFFFFFB: 1 occurrences
0dC20A9923A6810426: 1 occurrences
