PTX Hexadecimal Floating-Point Constants
================================================================================

Total unique constants: 7607
Total occurrences: 1224282

DOUBLE-PRECISION CONSTANTS (0d/0D + 16 hex digits):
--------------------------------------------------------------------------------
0d3C90000000000000: 311 occurrences
0d3F7C71C71C71C71C: 308 occurrences
0d4022000000000000: 305 occurrences
0dBFB3333333333334: 305 occurrences
0d3FF7E94467381D7E: 304 occurrences
0d7FEFFFFFFFFFFFFF: 283 occurrences
0dC010000000000000: 261 occurrences
0d3FE988453365DE00: 257 occurrences
0d3FC3333333333334: 255 occurrences
0d3FA3333333333334: 248 occurrences
0d3F50624DD2F1A9FC: 243 occurrences
0dBF7EB851EB851EBA: 240 occurrences
0d4044000000000000: 236 occurrences
0d4070100000000000: 236 occurrences
0d4100000000000000: 230 occurrences
0d404CA5DC1A63C1F5: 228 occurrences
0d3EE4F8B588E368F1: 220 occurrences
0d3E35798EE2308C3A: 216 occurrences
0d3FD5555555555555: 215 occurrences
0d40091EB851EB851F: 211 occurrences
0d3FB2B324D6AC6977: 208 occurrences
0d3FE753F7CED91687: 207 occurrences
0d4059000000000000: 205 occurrences
0d3F9CAC083126E979: 204 occurrences
0d3F85B573EAB367A1: 204 occurrences
0d3FE921FB54442D18: 203 occurrences
0d3FE6DFA43FE5C91D: 203 occurrences
0d3FC7EF9DB22D0E56: 203 occurrences
0d3F9F8A0902DE00D2: 203 occurrences
0d3FCD7DBF487FCB92: 202 occurrences
0d3FE4305532617C1C: 202 occurrences
0d3F2D3B63DBB65B49: 201 occurrences
0dBEF53E1D2A25FF7E: 201 occurrences
0dBF5312788DDE082E: 201 occurrences
0d3F6F9690C8249315: 201 occurrences
0dBF82CF5AABC7CF0D: 201 occurrences
0d3F9162B0B2A3BFDE: 201 occurrences
0dBF9A7256FEB6FC6B: 201 occurrences
0d3FA171560CE4A489: 201 occurrences
0dBFA4F44D841450E4: 201 occurrences
0d3FA7EE3D3F36BB95: 201 occurrences
0dBFAAD32AE04A9FD1: 201 occurrences
0d3FAE17813D66954F: 201 occurrences
0dBFB11089CA9A5BCD: 201 occurrences
0d3FB3B12B2DB51738: 201 occurrences
0dBFB745D022F8DC5C: 201 occurrences
0d3FBC71C709DFE927: 201 occurrences
0dBFC2492491FA1744: 201 occurrences
0d3FC99999999840D2: 201 occurrences
0dBFD555555555544C: 201 occurrences
0d401C000000000000: 199 occurrences
0d3FA0D844D013A92A: 199 occurrences
0d3FE3333333333334: 181 occurrences
0d3FF1555555555555: 180 occurrences
0d3FF7F05A708EDE55: 180 occurrences
0d4017AFB48DC96626: 175 occurrences
0d400921F9F01B866E: 163 occurrences
0d3F75B573EAB367A1: 162 occurrences
0d3F90D844D013A92A: 162 occurrences
0d3F8F8A0902DE00D2: 162 occurrences
0d3FB7EF9DB22D0E56: 162 occurrences
0d3F8CAC083126E979: 162 occurrences
0d3FD4305532617C1C: 162 occurrences
0d3FD6DFA43FE5C91D: 162 occurrences
0d3FBD7DBF487FCB92: 162 occurrences
0d4034000000000000: 161 occurrences
0d3F1A36E2EB1C432D: 154 occurrences
0d4012000000000000: 150 occurrences
0d3FA374BC6A7EF9DB: 150 occurrences
0d3D3C25C268497682: 147 occurrences
0d3F6CAC083126E979: 144 occurrences
0d3D719799812DEA11: 141 occurrences
0dC004000000000000: 141 occurrences
0d3FF0CFABD6A91132: 139 occurrences
0d3FFAC5AFAD782CF1: 134 occurrences
0dC04CA5DC1A63C1F5: 130 occurrences
0d414E848000000000: 129 occurrences
0d4050ACCCCCCCCCCD: 129 occurrences
0d3FF21CAC083126E9: 128 occurrences
0d3FD3333333333333: 126 occurrences
0dC034000000000000: 125 occurrences
0d4066800000000000: 124 occurrences
0dBFC3333333333334: 124 occurrences
0dBFE3333333333334: 124 occurrences
0d4002D97C7F3321D2: 122 occurrences
0dC09F400000000000: 121 occurrences
0dBF40624DD2F1A9FC: 121 occurrences
0d3FE3333333333333: 120 occurrences
0dC01921FB54442D18: 118 occurrences
0dBFF99999A0000000: 118 occurrences
0dBFE3FFFFFB000001: 118 occurrences
0d3D47088FDB46FA5F: 115 occurrences
0dBCF0679AFBA6F279: 115 occurrences
0dBD8DF9F9B976A9B2: 115 occurrences
0d3DC7F1F5590CC332: 115 occurrences
0dBDFA28A3CD2D56C4: 115 occurrences
0d3E2485EE67835925: 115 occurrences
0dBE476DB45919F583: 115 occurrences
0d3E62D698D98C8D71: 115 occurrences
0dBE720A2C7155D5C6: 115 occurrences
0dBE41D29B37CA1397: 115 occurrences
0d3EA2EF6CC0F67A49: 115 occurrences
0dBEC102B892333B6F: 115 occurrences
0d3ECA30375BA9A84E: 115 occurrences
0d3ECAAD18DEDEA43E: 115 occurrences
0dBEFF05355BC5B225: 115 occurrences
0d3F10E37A3108BC8B: 115 occurrences
0d3EFB292D828E5CB2: 115 occurrences
